rp_id,label,floor,wing,orientation,survey_date,n_readings,n_anchors_seen,vector
11,Petit couloir dans la salle d'attente,RDC,C,Bloc opératoire général,2026-04-08,343,13,"[-100.0, -91.62963104248047, -100.0, -79.5128173828125, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.0, -100.0, -100.0, -93.57142639160156, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -92.42857360839844, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -74.23076629638672, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.33333587646484, -100.0, -100.0, -62.30769348144531, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -95.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -80.82051086425781, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -72.92308044433594, -100.0, -100.0, -100.0, -100.0, -90.83870697021484, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.92308044433594, -100.0, -100.0, -100.0, -100.0]"
12,Petit couloir avec les bureaux dans la salle d'attente,RDC,C,Bloc opératoire général,2026-04-08,293,11,"[-100.0, -100.0, -100.0, -77.19512176513672, -100.0, -100.0, -96.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.28571319580078, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -83.80000305175781, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -70.34146118164062, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -85.68292999267578, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.83333587646484, -100.0, -100.0, -100.0, -64.19512176513672, -100.0, -100.0, -100.0, -100.0, -91.5862045288086, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.31707000732422, -100.0, -100.0, -100.0, -100.0]"
13,Près des douches / Déshabilloir dans la salle d'attente,RDC,C,Bloc opératoire général,2026-04-08,242,9,"[-100.0, -100.0, -100.0, -74.5128173828125, -100.0, -100.0, -95.80000305175781, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -86.26470947265625, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.46154022216797, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -91.03030395507812, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.75, -100.0, -100.0, -100.0, -70.53845977783203, -100.0, -100.0, -100.0, -100.0, -95.81818389892578, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.97368621826172, -100.0, -100.0, -100.0, -100.0]"
14,Bureau des déshabilloirs,RDC,C,Bloc opératoire général,2026-04-08,229,7,"[-100.0, -100.0, -100.0, -71.08333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -81.63888549804688, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -72.52777862548828, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -82.58333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -77.4857177734375, -100.0, -100.0, -100.0, -100.0, -94.28571319580078, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -82.69444274902344, -100.0, -100.0, -100.0, -100.0]"
15,Petit couloir d'entrée de la salle d'attente (entre les deux portes),RDC,C,Bloc opératoire général,2026-04-08,415,13,"[-100.0, -100.0, -100.0, -89.30000305175781, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -95.5, -100.0, -100.0, -83.2631607055664, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -81.4000015258789, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -82.44999694824219, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -95.5, -94.0, -100.0, -70.57142639160156, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -92.22856903076172, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -71.85713958740234, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -81.0952377319336, -100.0, -100.0, -100.0, -100.0, -81.34146118164062, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -82.45237731933594, -100.0, -100.0, -100.0, -100.0]"
16,Près de la salle opératoire 12,RDC,C,Bloc opératoire général,2026-04-08,459,16,"[-100.0, -100.0, -100.0, -87.5, -100.0, -96.5, -100.0, -100.0, -94.20833587646484, -100.0, -100.0, -100.0, -91.18181610107422, -100.0, -100.0, -72.97618865966797, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -67.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.72000122070312, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -95.875, -91.46666717529297, -100.0, -81.4186019897461, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -82.42857360839844, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -95.61538696289062, -100.0, -77.79069519042969, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -86.71052551269531, -100.0, -100.0, -100.0, -100.0, -93.45714569091797, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -92.75757598876953, -100.0, -100.0, -100.0, -100.0]"
17,Couloir près de la salle 1 (coronarographie),RDC,C,Bloc opératoire général,2026-04-08,326,16,"[-100.0, -100.0, -100.0, -100.0, -100.0, -95.77777862548828, -100.0, -100.0, -85.04545593261719, -100.0, -100.0, -100.0, -88.7741928100586, -100.0, -100.0, -76.81818389892578, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -69.33333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.55555725097656, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -92.83333587646484, -90.25806427001953, -100.0, -87.89473724365234, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.63636016845703, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -84.8499984741211, -100.0, -85.32257843017578, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -88.86666870117188, -100.0, -100.0, -94.63636016845703, -100.0, -93.63636016845703, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.5, -100.0, -100.0, -100.0, -100.0]"
18,"Intersection des salles CORO1, CORO2 et salle de réveil",RDC,C,Bloc opératoire général,2026-04-08,555,13,"[-100.0, -100.0, -100.0, -100.0, -100.0, -95.16666412353516, -100.0, -100.0, -76.5492935180664, -100.0, -89.0, -100.0, -92.41666412353516, -100.0, -100.0, -87.73846435546875, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -84.9076919555664, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -91.12000274658203, -100.0, -95.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -83.79710388183594, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -76.71830749511719, -100.0, -92.06451416015625, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -91.91304016113281, -100.0, -100.0, -100.0, -100.0, -100.0, -91.39215850830078, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]"
19,Couloir SAS — partie salle de réveil (à côté des toilettes / stock),RDC,C,Bloc opératoire général,2026-04-08,488,23,"[-100.0, -100.0, -100.0, -100.0, -100.0, -93.6551742553711, -100.0, -100.0, -82.23999786376953, -100.0, -90.4000015258789, -100.0, -85.63829803466797, -100.0, -100.0, -71.35294342041016, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -80.29412078857422, -93.0, -96.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -95.5, -100.0, -96.0, -100.0, -100.0, -100.0, -100.0, -85.44186401367188, -92.84615325927734, -100.0, -92.16666412353516, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -79.7254867553711, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -86.17646789550781, -100.0, -91.81818389892578, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -93.0, -100.0, -100.0, -95.0, -100.0, -100.0, -89.0, -100.0, -100.0, -93.33333587646484, -100.0, -100.0, -100.0, -100.0, -100.0, -94.0, -100.0, -100.0, -100.0, -100.0, -97.0, -96.0, -100.0, -100.0, -100.0]"
20,Dans la salle de réveil,RDC,C,Bloc opératoire général,2026-04-08,615,19,"[-100.0, -100.0, -100.0, -100.0, -100.0, -87.44898223876953, -100.0, -100.0, -87.40384674072266, -100.0, -100.0, -100.0, -75.18868255615234, -100.0, -100.0, -75.18518829345703, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -74.85185241699219, -93.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -91.14286041259766, -100.0, -100.0, -100.0, -100.0, -93.06666564941406, -80.16981506347656, -100.0, -95.42857360839844, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -63.37036895751953, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -83.05555725097656, -100.0, -92.69230651855469, -100.0, -100.0, -100.0, -94.76470947265625, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -91.71794891357422, -100.0, -100.0, -97.0, -100.0, -91.38636016845703, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -96.0, -100.0]"
